.threshold,.estimator,sens,spec,j_index,distance
0.5,binary,0.7654320987654321,0.9753882215060065,0.7408203202714385,0.05562783993022743
0.525,binary,0.7592592592592593,0.9768532083211251,0.7361124675803845,0.058491878217425755
0.55,binary,0.7530864197530864,0.9783181951362437,0.7314046148893301,0.06143641677249903
0.575,binary,0.7469135802469136,0.9797831819513625,0.7266967621982761,0.06446145559544718
0.6,binary,0.7283950617283951,0.9809551714034573,0.7093502331318524,0.07413194798979401
0.625,binary,0.7283950617283951,0.9821271608555523,0.7105222225839474,0.07408868087260562
0.65,binary,0.7098765432098766,0.9844711397597422,0.6943476829696187,0.08441276568021207
0.675,binary,0.691358024691358,0.9871081160269558,0.6784661407183137,0.09542606959479483
0.7,binary,0.6728395061728395,0.9891590975681219,0.6619986037409613,0.10715151388676902
0.725,binary,0.6604938271604939,0.9903310870202168,0.6508249141807108,0.11535792927433923
0.75,binary,0.6481481481481481,0.9920890711983592,0.6402372193465073,0.12386230844608215
0.775,binary,0.6419753086419753,0.9935540580134778,0.6355293666554531,0.12822322979010245
0.8,binary,0.5987654320987654,0.9944330501025491,0.5931984822013145,0.16102016941005115
0.825,binary,0.5555555555555556,0.9961910342806914,0.551746589836247,0.1975453724173817
0.8500000000000001,binary,0.5185185185185185,0.9967770290067389,0.5152955475252574,0.2318348045516256
0.875,binary,0.5,0.9979490184588339,0.49794901845883377,0.2500042065252822
0.9,binary,0.46296296296296297,0.998828010547905,0.46179097351086806,0.28841015270879566
0.925,binary,0.42592592592592593,0.9994140052739525,0.42533993119987845,0.32956138591382445
0.95,binary,0.35802469135802467,0.9997070026369763,0.35773169399500104,0.4121323827534142
0.9750000000000001,binary,0.11728395061728394,1,0.11728395061728403,0.7791876238378297
1,binary,0,1,0,1
